day_number,collision_date,num_collisions,weather_date,temperature,dew_point,sea_level_pressure,visibility,wind_speed,max_sustained_wind_speed,max_wind_gust,max_temperature,min_temperature,total_precipitation,snow_depth,fog_occurred
2,2016-01-26,734,2016-01-26,41.4,26.9,1018.9,9.8,5.1,8.9,25.1,48.0,28.0,0.0,18.9,0
3,2013-03-20,540,2013-03-20,38.5,18.9,1010.0,10.0,7.2,12.0,24.1,45.0,32.0,0.2,2.0,0
2,2013-02-12,498,2013-02-12,41.9,28.8,1009.8,8.8,7.2,14.0,22.0,45.0,39.9,0.4,9.1,0
1,2013-12-16,640,2013-12-16,30.3,12.7,1015.1,10.0,7.4,12.0,22.0,39.9,26.1,0.72,3.1,0
7,2013-03-10,415,2013-03-10,41.8,28.6,1027.2,10.0,4.1,7.0,999.9,51.1,36.0,0.0,2.0,0
1,2022-01-10,265,2022-01-10,32.7,17.6,1018.4,9.3,7.7,17.1,27.0,39.9,27.0,0.1,3.1,1
4,2022-02-03,248,2022-02-03,44.4,42.1,1024.8,4.5,3,8.9,999.9,48.0,32.0,0.01,3.9,1
1,2022-02-14,303,2022-02-14,21.8,3.5,1019.5,10.0,7.9,12,22.0,42.1,16.0,0.09,1.2,0
2,2015-01-27,188,2015-01-27,24.8,16.8,1005.1,4.3,8.8,17.1,27.0,30.0,21.0,0.78,2.0,1
1,2015-01-26,484,2015-01-26,26.5,12.7,1014.6,5.6,9.8,17.1,28.9,35.1,21.2,0.0,2.0,1
1,2015-03-02,650,2015-03-02,32.4,19.1,1020.2,7.5,5.3,13.0,27.0,39.0,24.1,0.52,9.8,0
7,2015-02-22,519,2015-02-22,34.3,28.2,1021.2,4.5,2.1,7.0,17.1,43.0,28.9,0.71,9.1,1
6,2015-02-14,436,2015-02-14,23.4,4.9,1014.0,8.5,4.6,8.9,20.0,32.0,8.1,0.0,7.9,0
6,2015-02-07,449,2015-02-07,29.8,12.6,1019.7,9.0,3.5,8.9,15.0,37.9,12.0,0.0,7.9,0
1,2015-02-09,547,2015-02-09,27.7,21.0,1014.8,8.8,9.6,15.9,22.9,37.0,25.0,0.03,7.9,0
7,2015-02-15,454,2015-02-15,18.9,4.1,1005.5,8.8,10.8,15.0,34.0,32.0,10.0,0.02,7.9,0
7,2015-03-15,459,2015-03-15,42.4,31.3,1007.8,9.3,8.8,15.0,29.9,51.1,39.0,0.58,1.2,0
4,2015-02-19,515,2015-02-19,20.9,2.1,1008.1,9.7,9.3,14.0,25.1,33.1,14.0,0.0,9.1,0
4,2015-02-12,526,2015-02-12,32.3,19.4,1009.9,8.9,4.6,8.9,21.0,39.9,21.9,0.0,7.9,0
5,2015-03-06,939,2015-03-06,19.4,3.2,1030.9,8.7,4.7,9.9,17.1,39.9,12.0,0.52,13.0,0
2,2015-02-24,580,2015-02-24,12.1,-6.8,1025.2,10.0,6.0,13.0,21.0,21.9,3.9,0.0,11.8,0
7,2015-01-11,341,2015-01-11,25.7,3.0,1035.9,10.0,5.5,9.9,20.0,37.0,16.0,0.0,1.2,0
4,2015-01-08,573,2015-01-08,13.0,-6.2,1027.1,10.0,8.8,18.1,31.1,23.0,8.1,0.0,1.2,0
2,2015-02-03,740,2015-02-03,18.1,7.6,1019.8,8.9,7.2,12.0,26.0,34.0,12.9,0.34,7.1,0
7,2015-03-22,432,2015-03-22,39.1,16.9,1015.9,9.7,7.2,12.0,22.0,46.9,28.9,0.0,5.1,0
4,2015-02-05,569,2015-02-05,33.8,16.1,1014.6,10.0,6.3,11.1,22.9,43.0,21.0,0.0,7.9,0
3,2013-12-18,701,2013-12-18,28.9,18.3,1016.3,9.7,5.5,11.1,19.0,37.0,23.0,0.18,3.1,0
